stock_ticker,sic
CNC,6324
CNET,7310
CNP,4931
CNP,4931
CNQR,7372
CNX,1311
CNX,1311
COF,6141
COF,6141
COHR,3827
COIN,6200
COL,3728
COL,3728
COMS,3663
COO,3851
COO,3851
COP,1311
COP,1311
COR,5122
CORV,2834
CORV.,2834
COST,5399
COST,5399
COTY,2844
COUP,7370
COX,4841
CPB,2030
CPB,2030
CPN,4991
CPN,4991
CPNG,5961
CPNLQ,4991
CPRT,5010
CRA,8731
CRL,8731
CRM,7372
CRM,7372
CROX,3021
CROX,3021
CRS,3312
CRUS,3674
CRUS,3674
CRWD,7370
CS,6211
CSCO,3576
CSCO,3576
CSGP,7370
CSL,2950
CSTR,6020
CSX,4011
CSX,4011
CTAS,7200
CTAS,7200
CTLT,2834
CTRA,1311
CTSH,7370
CTSH,7370
CTV,7310
CTVA,100
CTXS,7372
CTXS,7372
CVC,4841
CVC,4841
CVG,7389
CVH,6324
CVH,6324
CVNA,5500
CVS,8000
CVS,8000
CVX,2911
CVX,2911
CXO,1311
CY,3674
CY,3674
CYH,8062
CYMI,3559
CYTC,3826
CZR,7990
D,4911
D,4911
DAL,4512
DAL,4512
DALRQ,4512
DASH,7370
DATA,7372
DBX,7370
DCLK,7372
DCUE,4911
DD,2820
DD,2820
DDD,3559
DDOG,7370
DE,3523
DE,3523
DECK,3021
DELL,3571
DELL.1,3571
DELL.1,3571
DFS,6141
DFS,6141
DG,5331
DG,5331
DG.1,5331
DGX,8071
DGX,8071
DHI,1531
DHI,1531
DHR,3826
DHR,3826
DHR.PB,3826
DIGL,3669
DIS,4888
DIS,4888
DISCB,4841
DISCK,4841
DISH,4841
DISH,4841
DITC,3663
DJ,2711
DKE,4931
DKNG,7990
DKS,5940
DLM,2040
DLTR,5331
DLTR,5331
DO,1381
DOCN,7370
DOCU,7370
DOFSQ,1381
DOFSQ,1381
DOV,3559
DOV,3559
DOV.WI,3559
DOW,2821
DOWJB,2711
DPS,2086
DPZ,5812
DRC,3510
DRI,5812
DRI,5812
DRYR,2024
DST,7374
DT,7370
DTE,4931
DTE,4931
DTE.PB,4931
DTP,4931
DUK,4931
DUK,4931
DV,7372
DVA,8090
DVA,8090
DVN,1311
DVN,1311
DXC,7370
DXCM,3845
EA,7372
EAT,5812
EBAY,5961
EBAY,5961
ECL,2842
ECL,2842
